Яремче/Яремча/.Апартаменти Мандри.	78500, Івано-Франківська обл., м.Яремче, вул.Курортна,1,	тел. +38067 3440681 , +3803434 22648 .			
?Яремче./Яремча/.Гостинний двір У Мар'яни і Назара	78500, Івано-Франківська обл., м. Яремче, вул. Підскельна,тел.(03434)21525,  тел.моб:+38(097)0466667.				
?Яремче./Яремча/.Котедж Панська хата.	78500, Івано-Франківська обл., м. Яремче, вул. Франка, 2, тел. моб. +38(050) 9401009 Лариса.				
?Яремче.Котеджі Біля водоспаду.Ціни 2016.	м.Яремче, вул.Петраша, 20, тел.моб. +38098 9428540 Надія.				
?Яремче.Прокат велосипедів та туристичного спорядження VELO-TUR.Ціни 2016.	Івано-Франківська обл., м.Яремче вул.Грушевського 1 а. (на території автомийки)		тел.(+38096)8258909 &nbsp	&nbsp	еmail : reklamajar@ukr.net
?Яремче Таксі(Таксі Макс).Ціни 2016.	78500, Івано-Франківська обл. м.Яремче,радіо таксі Макс, тел.моб. +38066 5122792,+38098 5113262,+38063 4610605, тел. +3803434 21133.				
?Яблуниця. Руська баня Беркут	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, Яблуницький перевал, тел.моб. (8097) 7484323 Тарас (8067), 9440497 Євдокія, (8067) 9282237 Дмитро.				
?Яблуниця.Ресторан Беркут.Відпочинок в Карпатах.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, Яблуницький перевал,  тел.моб. (097) 7484323 Тарас (067), 9440497 Євдокія, (067) 9282237 Дмитро.				
?Колиба Високий перевал.Яблуниця	Івано-Франківська обл., Яремчанська міська рада,с.Яблуниця, участків «Горішків», тел. +38(067) 5551005.				
?Відпочинок в Карпатах.Яблуниця.База відпочинку Чотири сезони.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Діл», тел. +38(03434) 36413, тел.моб. +38(067)3547083 Ольга Богданівна,+38(067)6722826 - представник в турагенстві,тел. +38(0352)430717.				
?Приватна садиба X-drive.Яблуниця.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, тел. моб. (067) 9079451, Ілона, тел. дом. (03434) 36410.				
?Приватна садиба Царина.Яблуниця.	78593, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Крамниця»,	тел. моб. +38(098) 9800880 , +38(067) 3435981,+38(098) 7758134,+38(050)4334400.			
?Яблуниця.Приватна садиба У вуйка Василя.	78592, Івано-Франківська обл., Яремчанська міська рада,с.Яблуниця, участок «Горішків»,	тел.моб. +38(098) 9420578 - Аня, +38(098) 9828737 - Василь.			
?Яблуниця.Приватна садиба На Толоці.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, тел. +38(03475) 43608, тел. моб.+38(097) 5464868,+38(097) 5464867 Роман .				
?Яблуниця.Приватна садиба Гуцульська вишиванка.	78595, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Діл» тел.моб. +38(067) 9380511 Марьяна, +38 (067) 8102168 Руслан, тел.дом. +38 (094) 9235198.				
?Яблуниця.Приватна садиба Гостинний Дім.Відпочинок в Карпатах.	78592, Івано-Франківська обл., Яремчанська міська рада, с.Яблуниця, участок «Горішків»,	тел.моб. +38068 4791381, +38099 2070560.			
